Real-time data - subject to revision
Copyright Environment Canada(2024)

"Real-Time Hydrometric Data for WASI RIVER NEAR ASTORVILLE (02DD024) [ON]"

02DD024,"WASI RIVER NEAR ASTORVILLE"
Description of parameters:
47,"Discharge (unit values)",m³/s

Date (EST),Parameter ,Value (m³/s),Approval,Qualifier
2024-07-03 22:40:00,47,2.76,Provisional,UNSPECIFIED
2024-07-03 22:45:00,47,2.76,Provisional,UNSPECIFIED
2024-07-03 22:50:00,47,2.76,Provisional,UNSPECIFIED
2024-07-03 22:55:00,47,2.76,Provisional,UNSPECIFIED
2024-07-03 23:00:00,47,2.76,Provisional,UNSPECIFIED
2024-07-03 23:05:00,47,2.76,Provisional,UNSPECIFIED
2024-07-03 23:10:00,47,2.76,Provisional,UNSPECIFIED
2024-07-03 23:15:00,47,2.76,Provisional,UNSPECIFIED
2024-07-03 23:20:00,47,2.76,Provisional,UNSPECIFIED
2024-07-03 23:25:00,47,2.76,Provisional,UNSPECIFIED
2024-07-03 23:30:00,47,2.76,Provisional,UNSPECIFIED
2024-07-03 23:35:00,47,2.75,Provisional,UNSPECIFIED
2024-07-03 23:40:00,47,2.76,Provisional,UNSPECIFIED
2024-07-03 23:45:00,47,2.76,Provisional,UNSPECIFIED
2024-07-03 23:50:00,47,2.75,Provisional,UNSPECIFIED
2024-07-03 23:55:00,47,2.76,Provisional,UNSPECIFIED
2024-07-04 00:00:00,47,2.76,Provisional,UNSPECIFIED
2024-07-04 00:05:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 00:10:00,47,2.76,Provisional,UNSPECIFIED
2024-07-04 00:15:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 00:20:00,47,2.76,Provisional,UNSPECIFIED
2024-07-04 00:25:00,47,2.76,Provisional,UNSPECIFIED
2024-07-04 00:30:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 00:35:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 00:40:00,47,2.76,Provisional,UNSPECIFIED
2024-07-04 00:45:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 00:50:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 00:55:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 01:00:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 01:05:00,47,2.76,Provisional,UNSPECIFIED
2024-07-04 01:10:00,47,2.76,Provisional,UNSPECIFIED
2024-07-04 01:15:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 01:20:00,47,2.76,Provisional,UNSPECIFIED
2024-07-04 01:25:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 01:30:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 01:35:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 01:40:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 01:45:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 01:50:00,47,2.76,Provisional,UNSPECIFIED
2024-07-04 01:55:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 02:00:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 02:05:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 02:10:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 02:15:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 02:20:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 02:25:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 02:30:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 02:35:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 02:40:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 02:45:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 02:50:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 02:55:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 03:00:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 03:05:00,47,2.75,Provisional,UNSPECIFIED
2024-07-04 03:10:00,47,2.74,Provisional,UNSPECIFIED
2024-07-04 03:15:00,47,2.74,Provisional,UNSPECIFIED
2024-07-04 03:20:00,47,2.74,Provisional,UNSPECIFIED
2024-07-04 03:25:00,47,2.74,Provisional,UNSPECIFIED
2024-07-04 03:30:00,47,2.74,Provisional,UNSPECIFIED
2024-07-04 03:35:00,47,2.74,Provisional,UNSPECIFIED
2024-07-04 03:40:00,47,2.74,Provisional,UNSPECIFIED
2024-07-04 03:45:00,47,2.74,Provisional,UNSPECIFIED
2024-07-04 03:50:00,47,2.74,Provisional,UNSPECIFIED
2024-07-04 03:55:00,47,2.73,Provisional,UNSPECIFIED
2024-07-04 04:00:00,47,2.73,Provisional,UNSPECIFIED
2024-07-04 04:05:00,47,2.73,Provisional,UNSPECIFIED
2024-07-04 04:10:00,47,2.73,Provisional,UNSPECIFIED
2024-07-04 04:15:00,47,2.73,Provisional,UNSPECIFIED
2024-07-04 04:20:00,47,2.73,Provisional,UNSPECIFIED
2024-07-04 04:25:00,47,2.73,Provisional,UNSPECIFIED
2024-07-04 04:30:00,47,2.72,Provisional,UNSPECIFIED
2024-07-04 04:35:00,47,2.72,Provisional,UNSPECIFIED
2024-07-04 04:40:00,47,2.71,Provisional,UNSPECIFIED
2024-07-04 04:45:00,47,2.72,Provisional,UNSPECIFIED
2024-07-04 04:50:00,47,2.72,Provisional,UNSPECIFIED
2024-07-04 04:55:00,47,2.72,Provisional,UNSPECIFIED
2024-07-04 05:00:00,47,2.71,Provisional,UNSPECIFIED
2024-07-04 05:05:00,47,2.71,Provisional,UNSPECIFIED
2024-07-04 05:10:00,47,2.71,Provisional,UNSPECIFIED
2024-07-04 05:15:00,47,2.71,Provisional,UNSPECIFIED
2024-07-04 05:20:00,47,2.71,Provisional,UNSPECIFIED
2024-07-04 05:25:00,47,2.71,Provisional,UNSPECIFIED
2024-07-04 05:30:00,47,2.71,Provisional,UNSPECIFIED
2024-07-04 05:35:00,47,2.70,Provisional,UNSPECIFIED
2024-07-04 05:40:00,47,2.71,Provisional,UNSPECIFIED
2024-07-04 05:45:00,47,2.70,Provisional,UNSPECIFIED
2024-07-04 05:50:00,47,2.70,Provisional,UNSPECIFIED
2024-07-04 05:55:00,47,2.70,Provisional,UNSPECIFIED
2024-07-04 06:00:00,47,2.68,Provisional,UNSPECIFIED
2024-07-04 06:05:00,47,2.70,Provisional,UNSPECIFIED
2024-07-04 06:10:00,47,2.70,Provisional,UNSPECIFIED
2024-07-04 06:15:00,47,2.68,Provisional,UNSPECIFIED
2024-07-04 06:20:00,47,2.68,Provisional,UNSPECIFIED
2024-07-04 06:25:00,47,2.68,Provisional,UNSPECIFIED
2024-07-04 06:30:00,47,2.68,Provisional,UNSPECIFIED
2024-07-04 06:35:00,47,2.68,Provisional,UNSPECIFIED
2024-07-04 06:40:00,47,2.67,Provisional,UNSPECIFIED
